InterZone,All people,Area (hectares),simd_mode
S02001236,4845,1955,4
S02001237,4007,1975,5
S02001238,6112,527,5
S02001239,5229,149,2
S02001240,4419,83,5
S02001241,3831,112,5
S02001242,4564,142,5
S02001243,4946,900,5
S02001244,3911,112,2
S02001245,4572,154,5
S02001246,5843,55,5
S02001247,3518,120,5
S02001248,6102,91,5
S02001249,4025,69,3
S02001250,2509,87,3
S02001251,4901,54,5
S02001252,4745,110,5
S02001253,4094,114,2
S02001254,4024,605,4
S02001255,4069,112,5
S02001256,3683,705,4
S02001257,5686,101,3
S02001258,4606,152,1
S02001259,3255,103,2
S02001260,4108,69,4
S02001261,7144,76,4
S02001262,3705,90,2
S02001263,5432,88,5
S02001264,4674,123,1
S02001265,5021,165,5
S02001266,4835,96,1
S02001267,3989,101,2
S02001268,5944,117,4
S02001269,5344,90,2
S02001270,4812,92,2
S02001271,4917,84,3
S02001272,3532,84,2
S02001273,5507,93,2
S02001274,5272,87,1
S02001275,5304,2722,5
S02001276,3299,141,3
S02001277,4540,663,5
S02001278,5402,2102,3
S02001279,4055,134,5
S02001280,4343,1004,5
S02001281,4902,118,5
S02001282,3588,168,4
S02001283,2715,182,5
S02001284,2913,1292,5
S02001285,3114,125983,4
S02001286,4894,46290,5
S02001287,4188,12507,4
S02001288,3972,10127,3
S02001289,5365,15295,4
S02001290,3343,22026,4
S02001291,5544,165,5
S02001292,5887,158,5
S02001293,2982,84,5
S02001294,4526,117,5
S02001295,4306,2725,4
S02001296,4812,24249,4
S02001297,4049,168,5
S02001298,3097,149,5
S02001299,4041,14336,5
S02001300,4140,43020,4
S02001301,5571,19847,5
S02001302,3599,114,5
S02001303,5501,179,4
S02001304,5376,214,4
S02001305,4843,13011,5
S02001306,5723,5793,5
S02001307,3271,1615,5
S02001308,3931,3126,5
S02001309,4163,120,5
S02001310,3772,185,5
S02001311,4205,3725,4
S02001312,5259,5607,5
S02001313,5849,226,5
S02001314,4419,160,5
S02001315,4307,19977,4
S02001316,5693,14195,5
S02001317,4896,7007,5
S02001318,3800,15271,3
S02001319,4623,16503,4
S02001320,4502,45758,3
S02001321,4438,178,3
S02001322,2806,18290,3
S02001323,4841,166,4
S02001324,3293,11489,3
S02001325,3829,12464,3
S02001326,4082,147,2
S02001327,4009,131,3
S02001328,3209,15834,4
S02001329,3073,17144,3
S02001330,4592,15064,4
S02001331,2721,145,4
S02001332,2892,13608,4
S02001333,4687,6554,4
S02001334,4526,280,5
S02001335,2620,76,2
S02001336,6432,181,1
S02001337,4412,158,5
S02001338,5864,18321,3
S02001339,5984,10586,3
S02001340,4144,166,4
S02001341,2577,62,2
S02001342,2708,60,3
S02001343,3671,129,1
S02001344,5551,9490,5
S02001345,5864,10234,4
S02001346,2900,97,4
S02001347,4819,145,5
S02001348,5199,151,3
S02001349,5524,180,5
S02001350,2321,9617,4
S02001351,5823,253,5
S02001352,3694,182,4
S02001353,4707,121,2
S02001354,4801,112,3
S02001355,4938,138,1
S02001356,2961,6860,3
S02001357,5702,201,2
S02001358,4820,160,3
S02001359,3535,5886,4
S02001360,3509,20346,3
S02001361,3595,139,2
S02001362,3886,161,5
S02001363,5334,21437,3
S02001364,4150,193,5
S02001365,4755,122,2
S02001366,5050,171,3
S02001367,2780,16782,3
S02001368,6085,216,3
S02001369,3675,114781,3
S02001370,3844,107235,3
S02001371,5830,1957,4
S02001372,2799,111,3
S02001373,5260,67568,3
S02001374,2259,88943,3
S02001375,3146,54789,3
S02001376,3825,1294,3
S02001377,2521,57514,3
S02001378,3556,105016,3
S02001379,2971,61970,3
S02001380,4932,257,2
S02001381,2687,12221,3
S02001382,3811,165,2
S02001383,2584,41054,3
S02001384,3376,66618,3
S02001385,5249,288,3
S02001386,4711,196,2
S02001387,5636,7291,4
S02001388,4342,311,4
S02001389,4487,233,5
S02001390,3153,105,4
S02001391,4155,114,5
S02001392,3032,15699,4
S02001393,4396,322,1
S02001394,5410,3307,4
S02001395,2804,85,3
S02001396,4773,163,2
S02001397,2112,4156,2
S02001398,4835,188,2
S02001399,3520,3318,5
S02001400,4408,2915,2
S02001401,5220,763,1
S02001402,4910,178,1
S02001403,5598,147,2
S02001404,3456,328,3
S02001405,3670,115,1
S02001406,2791,110,2
S02001407,3606,132,2
S02001408,3825,23275,3
S02001409,2127,12607,2
S02001410,2676,63303,2
S02001411,5127,30148,3
S02001412,5507,46896,2
S02001413,3465,37702,3
S02001414,5302,20457,3
S02001415,4933,6999,3
S02001416,4227,181,3
S02001417,2431,19658,4
S02001418,3664,81360,3
S02001419,4810,27398,2
S02001420,4154,44677,3
S02001421,4525,34697,3
S02001422,3083,8144,3
S02001423,5991,154,1
S02001424,4923,212,2
S02001425,3531,96,5
S02001426,3545,13118,3
S02001427,3246,7619,3
S02001428,2950,84,5
S02001429,2888,66,5
S02001430,3393,130,1
S02001431,3436,136,3
S02001432,3022,97,2
S02001433,3009,195,4
S02001434,2776,6182,4
S02001435,3143,6029,4
S02001436,5011,10590,3
S02001437,3962,31408,3
S02001438,3914,48283,4
S02001439,3970,36213,3
S02001440,2613,14645,3
S02001441,3262,123,2
S02001442,5658,3673,2
S02001443,2998,1556,4
S02001444,4160,4150,5
S02001445,5863,344,5
S02001446,7417,133,4
S02001447,5602,78,3
S02001448,4781,102,1
S02001449,5126,115,2
S02001450,4852,68,1
S02001451,4648,78,1
S02001452,5524,54,1
S02001453,3224,126,4
S02001454,4337,204,3
S02001455,4453,99,1
S02001456,3061,137,4
S02001457,2925,68,1
S02001458,4988,146,5
S02001459,3782,94,5
S02001460,4350,162,5
S02001461,6456,631,5
S02001462,6261,176,1
S02001463,6047,439,2
S02001464,5344,182,1
S02001465,3357,198,1
S02001466,4001,106,1
S02001467,4940,121,4
S02001468,3617,206,4
S02001469,4793,123,1
S02001470,3582,121,5
S02001471,4585,161,1
S02001472,4317,80,1
S02001473,5504,122,1
S02001474,5917,205,1
S02001475,3614,1093,5
S02001476,3322,20263,1
S02001477,4123,3691,1
S02001478,5154,14525,3
S02001479,3205,84,1
S02001480,4099,117,3
S02001481,4871,49226,1
S02001482,2860,246,1
S02001483,5072,164,2
S02001484,3967,184,2
S02001485,3819,201,1
S02001486,5063,27567,4
S02001487,4238,125,5
S02001488,2695,64,5
S02001489,3770,115,2
S02001490,3053,145,1
S02001491,4670,128,3
S02001492,6058,5294,2
S02001493,4583,111,1
S02001494,4338,94,2
S02001495,2981,196,1
S02001496,3282,98,3
S02001497,3039,111,1
S02001498,3802,67,2
S02001499,5832,163,5
S02001500,4547,96,1
S02001501,4523,154,1
S02001502,3648,126,2
S02001503,5584,252,5
S02001504,3736,2524,2
S02001505,2833,81,3
S02001506,2896,1766,5
S02001507,3487,413,3
S02001508,3228,138,5
S02001509,3954,1358,5
S02001510,2941,112,5
S02001511,3518,121,5
S02001512,4149,118,5
S02001513,4196,149,5
S02001514,2724,72,5
S02001515,3612,132,5
S02001516,3252,120,5
S02001517,2845,88,5
S02001518,2917,1721,4
S02001519,5299,129,5
S02001520,5860,222,4
S02001521,5059,167,2
S02001522,2476,43,5
S02001523,4176,106,5
S02001524,5336,733,5
S02001525,3432,101,5
S02001526,3227,118,2
S02001527,4202,643,2
S02001528,4035,93,1
S02001529,3169,1164,5
S02001530,2842,758,3
S02001531,3409,81,2
S02001532,4055,856,4
S02001533,4730,5928,4
S02001534,5839,1617,2
S02001535,4560,147,3
S02001536,3079,117,5
S02001537,4844,78,2
S02001538,4454,116,2
S02001539,2222,50,2
S02001540,4957,91,1
S02001541,4183,102,2
S02001542,5967,418,5
S02001543,6314,1342,3
S02001544,5658,698,4
S02001545,2925,2698,3
S02001546,5465,4333,3
S02001547,5633,27545,4
S02001548,4088,138,3
S02001549,4777,142,2
S02001550,4166,4472,5
S02001551,3234,141,5
S02001552,3687,2062,4
S02001553,4894,20848,4
S02001554,4146,612,3
S02001555,4625,155,4
S02001556,6414,4409,5
S02001557,3642,114,4
S02001558,6000,342,1
S02001559,3946,281,2
S02001560,4061,78,2
S02001561,5729,1096,5
S02001562,6250,137,5
S02001563,3659,148,5
S02001564,6034,3454,5
S02001565,4647,5773,5
S02001566,3130,423,5
S02001567,3531,210,4
S02001568,6198,125,5
S02001569,2958,67,5
S02001570,3691,108,5
S02001571,4640,116,5
S02001572,4876,148,5
S02001573,3440,108,5
S02001574,3629,99,4
S02001575,4099,140,4
S02001576,5796,4806,5
S02001577,4782,811,5
S02001578,3050,216,5
S02001579,3954,118,5
S02001580,4295,1972,5
S02001581,4112,302,5
S02001582,3223,38,1
S02001583,4534,72,1
S02001584,3694,76,1
S02001585,3121,42,3
S02001586,3555,129,1
S02001587,5770,109,1
S02001588,4596,90,2
S02001589,4817,91,3
S02001590,4272,65,3
S02001591,3563,43,4
S02001592,5042,54,5
S02001593,4843,194,5
S02001594,4347,99,5
S02001595,4291,136,5
S02001596,3938,76,4
S02001597,2639,39,2
S02001598,5463,146,5
S02001599,4925,168,5
S02001600,2797,674,4
S02001601,2658,99,4
S02001602,5272,111,1
S02001603,3593,69,2
S02001604,4120,85,2
S02001605,3168,46,1
S02001606,3274,83,4
S02001607,3004,414,4
S02001608,4895,85,2
S02001609,6240,228,5
S02001610,3474,109,2
S02001611,6070,70,5
S02001612,5608,104,5
S02001613,5277,37,5
S02001614,5144,31,5
S02001615,5575,126,5
S02001616,5018,127,5
S02001617,5758,38,5
S02001618,4468,23,5
S02001619,6462,54,3
S02001620,6233,63,3
S02001621,6556,91,5
S02001622,5651,125,3
S02001623,5915,281,2
